DESCRIPTION,FAMILY_ID,Arabidopsis,Cacao,Peach,Castor bean,Cassava,Poplar,Rice,Brachypodium,Sorghum,Setaria,Banana,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir,Moss
OG0000114,1,25,16,16,15,22,27,17,16,15,18,27,15,13,15,14,13
OG0000176,2,18,13,12,11,18,20,13,17,13,15,14,7,14,8,5,15
OG0000192,3,12,12,9,10,9,11,6,11,11,11,10,5,4,3,7,10
OG0000203,4,13,9,9,7,15,16,15,13,15,15,22,9,6,5,12,6
OG0000205,5,11,8,8,10,14,12,14,16,13,16,24,12,14,6,9,6
OG0000207,6,8,7,8,10,10,18,15,16,18,16,2,11,14,11,19,2
OG0000212,7,11,13,14,12,16,21,11,11,13,13,9,4,6,3,6,4
OG0000221,8,11,5,7,7,9,9,10,10,9,14,16,14,11,11,14,7
OG0000241,9,9,10,8,7,14,12,11,9,9,8,19,11,10,10,11,6
OG0000242,10,2,2,2,2,2,4,2,2,2,2,3,2,3,5,6,2
OG0000246,11,10,8,10,9,11,14,12,13,12,14,8,17,7,5,11,6
OG0000247,12,10,11,10,11,15,17,7,10,11,13,13,9,9,8,2,5
OG0000250,13,14,10,8,7,14,18,10,11,10,11,21,10,11,6,6,4
OG0000256,14,12,8,9,6,15,13,7,7,5,8,12,6,8,9,18,11
OG0000258,15,12,9,9,9,14,14,9,9,12,11,18,3,8,6,6,8
OG0000260,16,13,11,14,10,14,20,10,11,10,10,7,9,7,5,8,6
OG0000270,17,10,7,8,8,9,13,12,9,8,7,11,10,2,2,2,5
OG0000272,18,9,7,8,7,11,11,13,11,8,12,12,5,9,11,0,4
OG0000273,19,11,12,13,9,19,16,11,7,10,9,9,8,7,4,3,0
OG0000279,20,10,9,8,8,13,17,9,9,11,12,13,6,9,6,9,9
OG0000282,21,11,7,1,2,10,8,8,7,8,9,2,4,10,2,5,6
OG0000290,22,9,9,7,8,14,17,11,9,11,9,20,7,9,1,6,2
OG0000291,23,11,7,8,8,13,9,7,6,7,8,10,4,13,12,13,5
OG0000292,24,16,10,10,8,15,14,10,11,12,12,10,3,4,7,1,4
OG0000293,25,13,8,9,8,15,16,9,11,13,10,19,4,5,4,5,7
OG0000295,26,10,7,6,6,11,13,14,12,14,12,18,4,3,3,3,4
OG0000300,27,12,7,9,6,11,10,10,10,12,14,13,11,12,7,11,1
OG0000302,28,9,10,9,7,11,13,9,7,8,8,11,12,14,8,12,2
OG0000306,29,17,6,6,6,12,11,10,7,10,11,20,5,8,3,3,4
OG0000308,30,9,9,10,7,11,14,12,12,12,11,18,3,5,5,5,11
OG0000314,31,8,8,6,8,11,18,7,8,8,8,19,7,9,8,13,6
OG0000323,32,10,7,7,4,10,10,9,8,7,8,19,7,7,6,13,7
OG0000324,33,6,14,13,8,7,12,5,5,11,9,3,10,14,9,7,6
OG0000327,34,10,9,8,6,8,13,8,11,12,10,11,8,7,6,12,6
OG0000333,35,15,9,8,8,13,13,6,7,5,7,20,9,9,7,12,1
OG0000334,36,11,8,9,8,10,13,12,11,11,12,15,7,4,3,5,7
OG0000337,37,8,6,8,5,10,15,7,7,6,7,15,1,6,7,6,12
OG0000347,38,10,8,11,11,7,13,9,13,8,13,4,7,1,6,10,6
OG0000349,39,11,9,9,9,12,13,11,11,11,12,14,2,5,2,2,6
OG0000353,40,5,9,8,3,4,6,7,9,12,14,3,8,2,8,16,3
OG0000356,41,14,7,10,7,13,13,11,10,10,13,18,1,2,1,2,4
OG0000357,42,8,6,6,5,10,12,4,4,4,5,7,5,11,6,11,3
OG0000362,43,8,8,7,7,6,9,6,6,7,7,11,8,8,6,17,4
OG0000363,44,9,5,5,4,13,8,7,3,5,5,3,2,2,5,3,5
OG0000366,45,9,8,10,4,11,13,10,9,10,9,15,5,5,7,3,5
OG0000367,46,10,7,6,6,12,12,11,10,11,11,14,5,6,7,4,4
OG0000368,47,10,7,7,7,9,10,9,9,10,9,13,7,8,6,9,4
OG0000376,48,17,17,5,5,8,9,8,6,7,11,10,5,8,5,10,1
OG0000382,49,12,9,9,8,13,15,3,9,10,9,17,2,2,2,4,3
OG0000383,50,4,4,3,3,8,7,3,5,8,3,17,3,3,3,2,1
OG0000384,51,11,8,7,8,10,20,7,8,7,8,7,2,5,5,4,5
OG0000385,52,6,5,6,6,9,11,7,3,6,8,9,17,15,8,15,3
OG0000386,53,9,7,7,6,10,11,12,11,12,12,12,6,6,4,4,6
OG0000390,54,11,8,7,8,13,12,8,7,7,8,11,11,8,10,0,3
OG0000396,55,11,7,8,7,11,10,6,4,4,5,14,6,16,8,14,1
OG0000397,56,8,6,6,6,11,11,6,5,7,6,11,5,3,5,2,4
OG0000399,57,13,7,7,7,10,10,7,8,8,8,10,2,2,2,4,3
OG0000400,58,10,7,7,7,13,11,9,9,10,10,15,3,3,2,5,6
OG0000402,59,7,8,8,6,8,9,7,8,10,12,8,5,6,5,2,1
OG0000404,60,10,7,7,7,10,14,6,7,7,7,17,6,6,4,7,4
OG0000408,61,4,5,4,5,6,7,8,5,5,5,7,12,10,12,9,6
OG0000410,62,11,8,9,5,9,9,9,8,10,10,13,7,5,3,1,3
OG0000412,63,14,7,6,7,13,13,9,7,9,9,15,4,5,4,4,3
OG0000414,64,9,9,8,7,16,14,9,8,7,8,18,3,4,4,2,5
OG0000415,65,1,8,6,8,14,5,8,8,10,15,5,9,6,4,13,0
OG0000426,66,6,5,5,5,7,9,9,12,12,10,12,7,6,7,7,7
OG0000427,67,3,5,3,4,8,12,11,2,8,7,6,6,12,5,9,1
OG0000430,68,8,7,7,7,9,12,10,11,9,10,14,4,6,4,4,0
OG0000431,69,7,5,6,5,9,10,8,9,8,6,6,16,2,13,2,2
OG0000433,70,4,5,6,5,9,10,8,7,7,3,14,4,4,4,4,3
OG0000437,71,6,5,5,5,8,9,9,11,10,10,16,6,7,2,12,6
OG0000439,72,5,7,5,7,11,12,5,8,4,5,10,6,2,9,6,1
OG0000441,73,10,5,5,6,10,10,13,10,12,10,19,2,2,1,3,7
OG0000442,74,9,6,6,6,9,8,11,10,9,10,14,4,4,4,4,4
OG0000443,75,8,3,7,5,15,8,5,6,9,10,7,2,7,4,3,5
OG0000444,76,12,7,12,9,10,20,9,7,8,5,6,4,3,4,6,1
OG0000446,77,8,4,11,9,8,8,9,14,7,10,4,5,4,5,9,2
OG0000450,78,15,9,9,1,7,10,8,11,10,9,8,4,1,2,2,1
