DESCRIPTION,FAMILY_ID,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir
OG0000012,1,2,9,45,3
OG0000014,2,18,11,5,2
OG0000015,3,19,5,28,3
OG0000016,4,7,43,7,19
OG0000017,5,21,0,1,32
OG0000018,6,12,15,2,2
OG0000020,7,13,1,10,1
OG0000021,8,1,2,1,46
OG0000022,9,2,3,1,67
OG0000023,10,2,12,1,6
OG0000025,11,0,0,3,6
OG0000026,12,3,1,1,26
OG0000027,13,4,49,3,2
OG0000028,14,6,28,1,2
OG0000029,15,5,30,1,17
OG0000030,16,22,3,32,2
OG0000031,17,1,27,2,1
OG0000032,18,5,5,5,11
OG0000033,19,1,24,2,2
OG0000037,20,2,35,2,4
OG0000038,21,28,22,15,13
OG0000039,22,13,29,20,13
OG0000040,23,10,19,14,5
OG0000041,24,1,18,2,3
OG0000042,25,13,2,2,1
OG0000043,26,5,16,4,5
OG0000044,27,7,7,26,10
OG0000045,28,4,30,2,5
OG0000047,29,2,14,1,4
OG0000049,30,22,12,1,1
OG0000050,31,0,0,1,41
OG0000051,32,3,6,0,7
OG0000052,33,12,1,15,5
OG0000053,34,15,5,0,5
OG0000054,35,1,42,2,1
OG0000055,36,14,1,6,6
OG0000056,37,1,10,1,1
OG0000057,38,4,23,5,7
OG0000058,39,2,0,15,2
OG0000059,40,11,0,25,2
OG0000060,41,1,2,1,5
OG0000061,42,4,5,24,2
OG0000062,43,0,1,2,4
OG0000063,44,1,24,2,3
OG0000064,45,1,23,3,5
OG0000065,46,1,7,1,2
OG0000066,47,2,1,1,16
OG0000067,48,2,5,12,4
OG0000068,49,3,6,3,45
OG0000069,50,3,14,2,23
OG0000070,51,27,7,12,4
OG0000072,52,7,2,14,10
OG0000073,53,4,2,4,3
OG0000074,54,5,8,3,3
OG0000075,55,0,0,1,3
OG0000076,56,3,12,3,2
OG0000077,57,3,1,1,14
OG0000078,58,1,14,0,4
OG0000079,59,22,9,11,2
OG0000080,60,6,11,7,2
OG0000081,61,0,19,1,1
OG0000082,62,6,2,2,13
OG0000083,63,13,2,3,2
OG0000084,64,14,11,3,1
OG0000086,65,1,28,2,2
OG0000087,66,7,13,9,6
OG0000089,67,2,2,18,9
OG0000091,68,2,3,10,4
OG0000092,69,4,2,3,7
OG0000094,70,1,39,0,2
OG0000096,71,2,4,1,32
OG0000097,72,0,27,1,1
OG0000098,73,1,0,2,24
OG0000099,74,1,17,1,1
OG0000100,75,7,3,7,2
OG0000101,76,3,1,10,4
OG0000103,77,14,8,3,4
OG0000104,78,2,7,0,1
OG0000105,79,0,28,0,3
OG0000106,80,1,7,6,5
OG0000107,81,6,1,7,15
OG0000108,82,2,1,1,42
OG0000110,83,1,6,2,5
OG0000112,84,3,33,0,8
OG0000113,85,15,13,7,1
OG0000114,86,10,3,3,3
OG0000115,87,1,32,1,1
OG0000116,88,14,2,14,17
OG0000117,89,7,9,8,1
OG0000118,90,3,12,5,15
OG0000119,91,11,4,8,4
OG0000120,92,1,1,1,22
OG0000121,93,9,13,7,4
OG0000122,94,0,8,0,18
OG0000123,95,5,6,10,1
OG0000125,96,2,2,2,3
OG0000126,97,7,6,6,7
OG0000127,98,7,4,8,15
OG0000128,99,9,11,4,13
OG0000129,100,8,1,0,1
OG0000130,101,19,3,1,5
OG0000131,102,17,13,11,4
OG0000132,103,1,6,0,31
OG0000133,104,2,2,1,6
OG0000134,105,1,0,3,1
OG0000136,107,2,1,3,1
OG0000137,108,10,1,10,1
OG0000138,109,4,6,3,6
OG0000139,110,13,16,7,7
OG0000140,111,1,1,3,24
OG0000141,112,0,12,3,1
OG0000142,113,3,0,1,32
OG0000143,114,5,2,2,1
OG0000144,115,10,4,9,1
OG0000145,116,6,2,1,6
OG0000146,117,10,2,10,10
OG0000147,118,21,6,11,3
OG0000148,119,6,6,3,23
OG0000149,120,3,6,3,12
OG0000150,121,7,13,4,2
OG0000151,122,1,4,1,33
OG0000152,123,3,8,0,9
OG0000154,125,10,4,10,2
